belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
;0;Drama;;fr;Set in 1940s France  a new teacher at a school for disruptive boys gives hope and inspiration.;7.775;Galat‚e Films;Switzerland;2004-03-17;0;96;fr;;The Chorus;7.6;990;penalty choir diary musical boys choir dormitory music boarding school children principal boys boarding school 1940s 
Pirates of the Caribbean Collection;140000000;Adventure;Fantasy Action ;en;Jack Sparrow  a freewheeling 19th-century pirate  quarrels with a rival pirate bent on pillaging Port Royal. When the governors daughter is kidnapped  Sparrow decides to help the girls love save her.;40.338;Jerry Bruckheimer Films;United States of America;2003-07-09;655011224;143;en;Prepare to be blown out of the water.;Pirates of the Caribbean: The Curse of the Black Pearl;7.6;10749;exotic island blacksmith east india trading company gold marriage proposal mutiny jamaica skeleton daughter governor wooden eye gold coin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirate ship capuchin monkey tortuga based on young adult novel 
;6000000;Drama;War ;en;A drama based on the experiences of Agu  a child soldier fighting in the civil war of an unnamed African country. Follows the journey of a young boy  Agu  who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him  his fledgling childhood has been brutally shattered by the war raging through his country  and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit  visceral detail  and paints a complex  difficult picture of Agu as a child soldier.;7.771;Participant Media;Ghana;2015-09-11;9077700;137;en;Child. Captive. Killer.;Beasts of No Nation;7.6;755;africa based on novel or book child soldier children in wartime 
;0;Drama;;en;Four women are given into the custody of the Magdalene sisterhood asylum to correct their sinful behavior: Crispina and Rose have given birth to a premarital child  Margaret got raped by her cousin and the orphan Bernadette had been repeatedly caught flirting with the boys. All have to work in a laundry under the strict supervision of the nuns  who break their wills through sadistic punishment.;6.151;Film Council;Ireland;2002-10-24;20957001;119;en;In a place that defied belief their only hope was each other.;The Magdalene Sisters;7.6;151;girls boarding school sexual harassment punishment irish ireland catholic convent school 
;20000000;Fantasy;Drama Romance ;en;A small suburban town receives a visit from a castaway unfinished science experiment named Edward.;13.586;20th Century Fox;United States of America;1990-12-05;53000000;105;en;His scars run deep.;Edward Scissorhands;7.6;6218;underdog love at first sight hairdresser small town scissors inventor burglar unsociability 
Living Dead Collection;114000;Horror;;en;A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film  NIGHT OF THE LIVING DEAD is the progenitor of the contemporary zombie apocalypse horror film  and it greatly influenced the modern pop-culture zombie archetype.;6.879;Image Ten;United States of America;1968-10-01;30000000;96;en;If it doesnt scare you  youre already dead!;Night of the Living Dead;7.6;894;sibling relationship loss of loved one cemetery gun gas station cellar house barricade zombie trapped cult film bitten 
;0;Animation;Drama ;en;Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality  free will  our relationships with others  and the meaning of life.;4.555;Line Research;United States of America;2001-01-23;3176880;99;en;Dreams. What are they? An escape from reality or reality itself?;Waking Life;7.6;384;philosophy loss of sense of reality dream freedom independent film free will parallel world existence imagination existentialism 
;0;Comedy;Romance War ;it;Greek Sea  World War II. An Italian ship leaves a handful of soldiers in a little island their mission is to spot enemy ships and to hold the island in case of attack. The village of the island seems abandoned and there isnt a single enemy in sight  so the soldiers begin to relax a little. Things change when their ship is hit and destroyed by the enemy  and the soldiers find themselves abandoned there.;5.639;Silvio Berlusconi Communications;Italy;1991-01-31;4532791;96;el;On a magical Greek island a soldier is about to discover that it is better to make love instead of war;Mediterraneo;7.6;334;world war ii island army greek island italian army 
;5000000;Science Fiction;Drama ;en;With only three weeks left in his three year contract  Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant  GERTY. When he has an accident however  he wakens to find that he is not alone.;11.049;Lunar Industries;United Kingdom;2009-06-12;9760104;97;es;The last place youd ever expect to find yourself.;Moon;7.6;2674;moon artificial intelligence clone isolation future dystopia space cloning moon base 
;0;Crime;Drama Thriller ;en;A bored teen living in Santa Rosa  California  Charlotte Charlie Newton  is frustrated because nothing seems to be happening in her life and that of her family. Then  she receives wonderful news: her uncle (for whom she was named)  Charlie Oakley  is arriving for a visit. But Uncle Charlie may not be the man he seems to be.;5.791;Universal Pictures;United States of America;1943-01-16;0;108;en;A Blast of DRAMATIC Dynamite exploded right before your eyes!;Shadow of a Doubt;7.6;331;california detective bank telegram suspect widow murder murderer visit film noir 
;11000000;Romance;Drama ;en;Gilbert has to care for his brother Arnie and his obese mother  which gets in the way when love walks into his life.;9.737;Paramount;United States of America;1993-12-17;10032765;118;en;Life is a terrible thing to sleep through.;Whats Eating Gilbert Grape;7.6;1532;sibling relationship mentally disabled iowa widow dysfunctional family 
;0;Action;Animation Science Fiction ;ja;The year is 2071. Following a terrorist bombing  a deadly virus is released on the populace of Mars and the government has issued the largest bounty in history  for the capture of whoever is behind it. The bounty hunter crew of the spaceship Bebop Spike  Faye  Jet and Ed  take the case with hopes of cashing in the bounty. However  the mystery surrounding the man responsible  Vincent  goes deeper than they ever imagined  and they arent the only ones hunting him.;6.46;TriStar Pictures;Japan;2001-09-01;0;116;ja;;Cowboy Bebop: The Movie;7.6;261;terror halloween revenge lethal virus anime 
;0;Drama;Mystery Thriller ;ru;A story of two Russian boys whose father suddenly returns home after a 12-year absence. He takes the boys on a holiday to a remote island on a lake that turns into a test of manhood of almost mythic proportions.;5.055;Ren Film;Russia;2003-06-25;0;105;ru;;The Return;7.6;158;return island russia boy brother thriller heavy rain speedo journal abusive father 
;0;Drama;;en;Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.;5.5;Thomas Carter Company;United States of America;2009-02-07;0;86;en;;Gifted Hands: The Ben Carson Story;7.6;151;biography 
;150000;Horror;Thriller ;en;Loner Mark Lewis works at a film studio during the day and  at night  takes racy photographs of women. Also hes making a documentary on fear  which involves recording the reactions of victims as he murders them. He befriends Helen  the daughter of the family living in the apartment below his  and he tells her vaguely about the movie he is making. She sneaks into Marks apartment to watch it and is horrified by what she sees -- especially when Mark catches her.;7.412;National Film Finance Corporation (NFFC);United Kingdom;1960-04-06;83957;101;en;What made this the most diabolical murder weapon ever used?;Peeping Tom;7.6;234;cinematographer photography illegal prostitution cult film proto-slasher 
King Kong (1933 series);672000;Adventure;Drama Horror Science Fiction ;en;An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.;7.358;RKO Radio Pictures;United States of America;1933-04-07;10000000;100;en;A Monster of Creations Dawn Breaks Loose in Our World Today!;King Kong;7.6;543;screenplay movie business exotic island ship great depression unsociability king kong dinosaur new york city sea voyage damsel in distress empire state building giant ape actress animal horror great ape 
;13000000;Drama;History ;en;Escaping death  a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage  Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.;8.052;Paramount;United States of America;1956-10-05;122700000;220;en;The Greatest Event in Motion Picture History;The Ten Commandments;7.6;508;egypt miracle slavery israeli epic religion judaism pharaoh biblical 
;0;Crime;Drama ;en;Dramatization of the Starkweather-Fugate killing spree of the 1950s  in which a teenage girl and her twenty-something boyfriend slaughtered her entire family and several others in the Dakota badlands.;5.457;Pressman-Williams;United States of America;1973-10-15;0;94;es;In 1959 a lot of people were killing time. Kit and Holly were killing people.;Badlands;7.6;453;mass murder on the run fugitive killing spree gritty south dakota badlands 
Harry Potter Collection;100000000;Adventure;Fantasy Family ;en;Ignoring threats to his life  Harry returns to Hogwarts to investigate ? aided by Ron and Hermione ? a mysterious series of attacks.;24.784;1492 Pictures;Germany;2002-11-13;876688482;161;en;Hogwarts is back in session.;Harry Potter and the Chamber of Secrets;7.6;9845;flying car witch magic child hero broom sorcerers apprentice school of witchcraft giant spider giant snake black magic aftercreditsstinger based on young adult novel 
;41677699;Animation;Family ;ja;The son of a sailor  5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day  he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her  names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess  Ponyo uses her fathers magic to transform herself into a young girl and quickly falls in love with Sosuke  but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyos father sends the oceans mighty waves to find his daughter  the two children embark on an adventure of a lifetime to save the world and fulfill Ponyos dreams of becoming human.;12.986;Studio Ghibli;Japan;2008-07-19;187479518;100;ja;Welcome to a world where anything is possible.;Ponyo;7.6;1489;mother fish cliff father mermaid princess anime 
;0;Drama;Romance ;es;Two men share an odd friendship while they care for two women who are both in deep comas.;7.202;V¡a Digital;Spain;2002-03-14;51001550;112;es;;Talk to Her;7.6;407;suicide spain rape coma bullfight torera journalist sexual abuse dying and death theatre milieu friendship car crash hospital pregnancy 
;1073000;Comedy;Romance ;en;David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances  he meets Susan Vance  and the duo have a series of misadventures which include a leopard called Baby.;6.467;RKO Radio Pictures;United States of America;1938-02-18;0;102;en;And so begins the hilarious adventure of Professor David Huxley and Miss Susan Vance  a flutter-brained vixen with love in her heart!;Bringing Up Baby;7.6;311;prison donation zoo museum paleontologist leopard bone screwball comedy 
;800000;Comedy;;fr;In Luis Bu¤uel?s deliciously satiric masterpiece  an upper-class sextet sits down to dinner but never eats  their attempts continually thwarted by a vaudevillian mixture of events both actual and imagined.;6.692;Greenwich Film Productions;France;1972-09-15;0;101;es;;The Discreet Charm of the Bourgeoisie;7.6;224;upper class date terrorist dream restaurant nightmare surreal bourgeoisie guest satire dinner drink small talk anarchic comedy 
Die Hard Collection;28000000;Action;Thriller ;en;NYPD cop  John McClanes plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office  the entire building is overtaken by a group of terrorists. With little help from the LAPD  wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.;15.256;Gordon Company;United States of America;1988-07-15;140767956;131;en;40 Stories. Twelve Terrorists. One Cop.;Die Hard;7.6;5408;helicopter journalist based on novel or book terrorist skyscraper christmas party s.w.a.t. hostage fbi kidnapping vault fistfight murder heist shootout los angeles one man army explosion violence walkie talkie christmas eve elevator shaft one night action hero 
;15000000;Drama;;en;When Gerda Wegener asks her husband Einar to fill in as a portrait model  Einar discovers the person shes meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerdas love and support  Lili embarks on a groundbreaking journey as a transgender pioneer.;10.781;Pretty Pictures;Germany;2015-11-27;64191523;120;en;Find the courage to be yourself.;The Danish Girl;7.6;3014;paris france painter denmark copenhagen based on novel or book artist art transsexual surgery lgbt 1920s 
The Incredibles Collection;92000000;Action;Adventure Animation Family ;en;Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment  its time to get back into costume.;23.333;Pixar;United States of America;2004-11-05;631442092;115;fr;No gut  no glory;The Incredibles;7.6;8970;secret identity secret hero island wretch supernatural powers weapon lawsuit superhero 
;0;Adventure;Drama ;en;A robust adventure about two British adventurers who take over primitive Kafiristan as godlike rulers  meeting a tragic end through their desire for a native girl. Based on a short story by Rudyard Kipling.;4.257;Persky-Bright Productions;United States of America;1975-12-03;0;129;en;Rudyard Kiplings epic of splendor  spectacle and high adventure at the top of a legendary world.;The Man Who Would Be King;7.6;218;robbery journalist based on novel or book gold cheating treasure coronation con man british army british empire adventure friends soldier king battle ruler british raj 
;40000000;Drama;;en;Set in the changing world of the late 1960s  Susanna Kaysens prescribed short rest from a psychiatrist she had met only once becomes a strange  unknown journey into Alices Wonderland  where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed  and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.;6.923;Red Wagon Entertainment;Germany;1999-12-21;48350205;127;en;The crazy thing is  youre not crazy.;Girl  Interrupted;7.6;1270;based on novel or book suicide attempt identity puberty female friendship biography insanity borderline personality disorder psychiatric hospital escape female protagonist mental institution based on memoir or autobiography psychiatrist hanging mental illness journal psychiatric ward self mutilation based on true events 1960s 
Batman Beyond Collection;0;Animation;Family ;en;The Joker is back with a vengeance  and Gothams newest Dark Knight needs answers as he stands alone to face Gothams most infamous Clown Prince of Crime.;6.136;Warner Bros. Animation;United States of America;2000-12-12;0;74;en;This Time  The Joker Is Wild;Batman Beyond: Return of the Joker;7.6;249;dc comics superhero cyberpunk super power save the neighborhood masked superhero save the day 
The Dark Knight Collection;150000000;Action;Crime Drama ;en;Driven by tragedy  billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home  Gotham City.  Unable to work within the system  he instead creates a new identity  a symbol of fear for the criminal underworld - The Batman.;21.573;DC Comics;United Kingdom;2005-06-10;374218673;140;en;Evil fears the knight.;Batman Begins;7.6;10718;himalaya loss of loved one martial arts dc comics crime fighter secret identity undercover hero society gotham city vigilante superhero based on comic rivalry tragic hero ninja super power haunted by the past evil doctor escapade master villain fighting crime unfulfillment love and romance unfulfilled love 
;0;Drama;Horror Thriller ;fr;Dr. G‚nessier is riddled with guilt after an accident that he caused disfigures the face of his daughter  the once beautiful Christiane  who outsiders believe is dead. Dr. G‚nessier  along with accomplice and laboratory assistant Louise  kidnaps young women and brings them to the G‚nessier mansion. After rendering his victims unconscious  Dr. G‚nessier removes their faces and attempts to graft them on to Christianes.;6.787;Lux Film;France;1960-01-11;0;84;en;;Eyes Without a Face;7.6;209;experiment surgeon suspense photograph scientist transplant dove ulcer film noir 
;12000000;Romance;Drama ;en;Despite the tumor-shrinking medical miracle that has bought her a few years  Hazel has never been anything but terminal  her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group  Hazels story is about to be completely rewritten.;15.341;TSG Entertainment;United States of America;2014-05-16;307166834;125;en;One Sick Love Story;The Fault in Our Stars;7.6;6222;amsterdam based on novel or book support group cancer teenager star crossed lovers teen drama oxygen tank based on young adult novel 
;30000000;Crime;Drama Mystery Thriller ;en;An arrogant  high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a 3rd person in the room. The intensity builds when a surprise twist alters everyones perception of the crime.;7.289;Paramount;United States of America;1996-04-03;102616183;129;en;Sooner or later  a man who wears two faces forgets which one is real.;Primal Fear;7.6;1027;corruption based on novel or book bishop court case pornographic video court psychopath 
Trinit…  Collection;0;Action;Comedy Western ;it;The simple story has the pair coming to the rescue of peace-loving Mormons when land-hungry Major Harriman sends his bullies to harass them into giving up their fertile valley. Trinity and Bambino manage to save the Mormons and send the bad guys packing with slapstick humor instead of excessive violence  saving the day.;6.982;West Film;Italy;1970-12-22;0;106;it;Look out! Here comes Trinity...;They Call Me Trinity;7.6;487;gunslinger sheriff saloon ranch settler false identity brother slapstick parody drifter cult film cowboy mormon spaghetti western identity theft 
;11500000;Drama;Romance ;en;A rule bound head butlers world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his masters cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.;4.856;Columbia Pictures;United Kingdom;1993-11-05;23237911;134;en;Diamond in the Rough;The Remains of the Day;7.6;381;newspaper butler country house loyalty flower nazi jewish britain housekeeper employer 
;9000000;Drama;History Romance ;it;Set in Bertoluccis ancestral region of Emilia  the film chronicles the lives of two men during the political turmoils that took place in Italy in the first half on the 20th century.;6.116;Paramount;France;1976-09-01;0;317;it;;1900;7.6;152;italy resistance fascism epic execution death catholicism communism 
;20000000;Drama;History War ;fr;A faithful retelling of the 1942 Vel dHiv Roundup and the events surrounding it.;6.595;Gaumont;France;2010-03-10;0;115;fr;An incredible real story of courage and survival.;The Round Up;7.6;521;woman director 
;0;Comedy;Drama ;de;Before eleven years old Tildas parents can put her beloved grandfather in an old peoples home due to his progressing Alzheimer disease  she takes him on one last adventure that subliminally threatens to tear her family apart.;5.846;Barefoot Films;Germany;2014-12-25;0;139;de;;Head Full of Honey;7.6;168;
;120000;Crime;Drama Romance ;fr;Cinephile slackers Franz and Arthur spend their days mimicking the antiheroes of Hollywood noirs and Westerns while pursuing the lovely Odile. The misfit trio upends convention at every turn  be it through choreographed dances in caf‚s or frolicsome romps through the Louvre. Eventually  their romantic view of outlaws pushes them to plan their own heist  but their inexperience may send them out in a blaze of glory -- which could be just what they want.;4.327;Orsay Films;France;1964-08-05;182857;97;fr;A Who-Dunit  Whos Got-It  Where-Is-It-Now Wild One From That Breathless director Jean-Luc Godard!;Band of Outsiders;7.6;163;robbery louvre woman between two men bastille nouvelle vague 
;150000000;Animation;Comedy Family Fantasy ;en;A rat named Remy dreams of becoming a great French chef despite his familys wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris  he finds himself ideally situated beneath a restaurant made famous by his culinary hero  Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant  Remys passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.;13.876;Pixar;United States of America;2007-06-22;623722818;111;en;Hes dying to become a chef.;Ratatouille;7.6;7564;paris france sibling relationship expensive restaurant river cook mouse evacuation confidence leaving ones family work restaurant critic kitchen spice cookbook food chef sewer recipe unlikely friendship rat 
;0;Drama;Romance ;fr;Takes place in a chateau  an ambiguous story of a man and a woman who may or may not have met last year at Marienbad.;4.837;Cineriz;France;1961-05-25;0;95;fr;Evocative  compelling  fascinating  different - an important motion picture  an exceptional work of art from the brilliant Alain Resnais;Last Year at Marienbad;7.6;157;hotel card game amnesia mystery extramarital affair statue chateau 
;55000000;Action;Drama Thriller ;en;The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama  the first American cargo ship to be hijacked in two hundred years.;9.932;Columbia Pictures;United States of America;2013-10-10;95000000;134;en;Out here survival is everything.;Captain Phillips;7.6;3452;ship hijacking somalia fisherman blood poverty pirate terrorism commando hijack cargo ship ship captain ship hijacking somali commando unit 
Frankenstein (Universal Series);393750;Horror;Science Fiction ;en;Bride of Frankenstein begins where James Whales Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation  Frankenstein agrees to help him create a new monster  this time a woman.;7.169;Universal Pictures;United States of America;1935-04-21;0;75;en;The monster demands a mate.;The Bride of Frankenstein;7.6;310;lightning cemetery monster hermit mill frankenstein mad scientist classic horror comedic relief 
;15000000;Drama;;en;Set in 1977  back when sex was safe  pleasure was a business and business was booming  idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams  a hot young talent working as a busboy in a nightclub  and welcomes him into the extended family of movie-makers  misfits and hangers-on that are always around. Adams rise from nobody to a celebrity adult entertainer is meteoric  and soon the whole world seems to know his porn alter ego  Dirk Diggler. Now  when disco and drugs are in vogue  fashion is in flux and the party never seems to stop  Adams dreams of turning sex into stardom are about to collide with cold  hard reality.;9.685;New Line Cinema;United States of America;1997-10-07;43101594;155;en;The life of a dreamer  the days of a business  and the nights in between.;Boogie Nights;7.6;1229;pornography sex 1970s porn actor custody battle rags to riches director drugs porn industry disco lgbt 
;3000000;Crime;Drama History ;en;The real-life struggle of an honest New York City cop against a corrupt system.;5.337;Paramount;Italy;1973-12-05;29800000;129;es;Many of his fellow officers considered him the most dangerous man alive - An honest cop.;Serpico;7.6;671;corruption hippie police money undercover cop internal affairs new york city social justice whistleblower 
;11000000;Drama;Romance War ;en;Doctor Zhivago is the filmed adapation of the Russian novel by Boris Pasternak from director David Lean that was an international success and today deemed a classic. Omar Sharif and Julie Christie play two protagonists who in fact love each other yet because of their current situation cannot find a way be together.;8.734;Metro-Goldwyn-Mayer;Italy;1965-12-22;111858363;200;en;Turbulent were the times and fiery was the love story of Zhivago  his wife and the passionate  tender Lara.;Doctor Zhivago;7.6;399;love triangle nurse loss of loved one suicide attempt world war i forbidden love step parents daughter epic russian revolution 
;0;Drama;Romance ;fr;This simple romantic tragedy begins in 1957. Guy Foucher  a 20-year-old French auto mechanic  has fallen in love with 17-year-old GeneviŠve Emery  an employee in her widowed mothers chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria  he and GeneviŠve make love. She becomes pregnant and must choose between waiting for Guys return or accepting an offer of marriage from a wealthy diamond merchant.;5.027;Parc Film;France;1964-02-19;0;91;fr;a film for all the young lovers of the world;The Umbrellas of Cherbourg;7.6;187;car mechanic letter normandy musical war single umbrella 1950s 1960s 
;1500000;Drama;;en;After moving to a new town  troublemaking teen Jim Stark is supposed to have a clean slate  although being the new kid in town brings its own problems. While searching for some stability  Stark forms a bond with a disturbed classmate  Plato  and falls for local girl Judy. However  Judy is the girlfriend of neighborhood tough  Buzz. When Buzz violently confronts Jim and challenges him to a drag race  the new kids real troubles begin.;8.042;Warner Bros. Pictures;United States of America;1955-10-29;4500000;111;en;The bad boy from a good family.;Rebel Without a Cause;7.6;618;individual rebel street gang car race parent child relationship underground world authority unsociability teen rebel based on story 
;0;Comedy;Drama ;en;Greg is coasting through senior year of high school as anonymously as possible  avoiding social interactions like the plague while secretly making spirited  bizarre films with Earl  his only friend. But both his anonymity and friendship threaten to unravel when his mother forces him to befriend a classmate with leukemia.;7.015;Indian Paintbrush;United States of America;2015-06-12;0;105;en;A Little Friendship Never Killed Anyone.;Me and Earl and the Dying Girl;7.6;1380;tattoo based on novel or book high school leukemia friends parody cancer coming of age teenager teenage boy high school student based on young adult novel 
;19000000;Comedy;Drama ;en;An ophthalmologists mistress threatens to reveal their affair to his wife  while a married documentary filmmaker is infatuated by another woman.;5.497;Orion Pictures;United States of America;1989-10-13;18254702;104;en;A film about humanity.;Crimes and Misdemeanors;7.6;327;new york adultery assassin professor brother-in-law murder mistress doctor hired killer documentary filmmaking 
;15000000;Adventure;Western Comedy Drama ;en;Jack Crabb  looking back from extreme old age  tells of his life being raised by Indians and fighting with General Custer.;7.552;Cinema Center Films;United States of America;1970-12-14;31559552;139;en;Either The Most Neglected Hero In History Or A Liar Of Insane Proportion!;Little Big Man;7.6;205;based on novel or book indian territory fight settler native american orphan cheyenne george armstrong custer 19th century 
;13000000;Crime;Drama ;fr;Sentenced to six years in prison  Malik El Djebena (Tahar Rahim) is alone in the world and can neither read nor write. On his arrival at the prison  he seems younger and more brittle than the others detained there. At once he falls under the sway of a group of Corsicans who enforce their rule in the prison. As the missions go by  he toughens himself and wins the confidence of the Corsican group.;6.642;Why Not Productions;France;2009-08-26;0;155;ar;Escaping the prison of life.;A Prophet;7.6;586;prison muslim arabian gangster protection mafia money spirit cruelty drugs inmate arab corsican 
;6400000;Comedy;Drama ;en;Between two Thanksgivings  Hannahs husband falls in love with her sister Lee  while her hypochondriac ex-husband rekindles his relationship with her sister Holly.;6.075;Orion Pictures;United States of America;1986-02-07;40084041;107;en;;Hannah and Her Sisters;7.6;363;writing opera artist thanksgiving hypochondriac langham television producer architecture singing writer new york city relationship art extramarital affair marx brothers fear of dying affair sisters 
;11800000;Drama;Romance ;en;When the popular  restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan  the daughter of the towns minister. Jamie has a to-do list for her life and also a very big secret she must keep from Landon.;7.704;Gaylord Films;United States of America;2002-01-25;47494916;101;en;It all comes down to whos by your side;A Walk to Remember;7.6;1806;based on novel or book theatre group north carolina theatre milieu high school cancer coming of age tragic love teenager star crossed lovers 
;0;Drama;History ;ru;A dramatized account of a great Russian naval mutiny and a resultant public demonstration  showing support  which brought on a police massacre. The film had an incredible impact on the development of cinema and is a masterful example of montage editing.;6.446;Mosfilm;Russia;1926-09-29;45100;75;ru;Revolution is the only lawful  equal  effectual war. It was in Russia that this war was declared and begun.;Battleship Potemkin;7.6;372;odessa baby carriage cossack panic slaughter massacre violence rage sailor silent film russian revolution revolt imperial russia insubordination port city steps maggots 
Harry Potter Collection;250000000;Adventure;Fantasy Family ;en;As Harry begins his sixth year at Hogwarts  he discovers an old book marked as Property of the Half-Blood Prince  and begins to learn more about Lord Voldemorts dark past.;21.92;Warner Bros. Pictures;United Kingdom;2009-07-07;933959197;153;en;Dark Secrets Revealed;Harry Potter and the Half-Blood Prince;7.6;8856;witch magic broom school of witchcraft apparition teenage crush werewolf wizard based on young adult novel 
;0;Comedy;;en;Fictional documentary about the life of human chameleon Leonard Zelig  a man who becomes a celebrity in the 1920s due to his ability to look and act like whoever is around him. Clever editing places Zelig in real newsreel footage of Woodrow Wilson  Babe Ruth  and others.;4.344;Orion Pictures;United States of America;1983-07-15;11798616;79;en;You wanted more when it was all over!;Zelig;7.6;322;paris france great depression celebrity mockumentary chameleon psychiatrist newsreel footage electroconvulsive therapy 1920s 1930s 
;0;Action;Adventure Science Fiction Fantasy ;en;The film takes place one year after the events of Captain America: The First Avenger  in which Agent Carter  a member of the Strategic Scientific Reserve  is in search of the mysterious Zodiac.;5.021;Marvel Studios;United States of America;2013-09-08;0;15;en;In an all-new Captain America adventure;Marvel One-Shot: Agent Carter;7.6;274;based on comic marvel cinematic universe short 
;0;Action;Crime ;en;In New York  armed men hijack a subway car and demand a ransom for the passengers. Even if its paid  how could they get away?;6.254;Palladium Productions;United States of America;1974-10-02;0;104;en;We are going to kill one passenger a minute until New York City pays us 1 million dollars.;The Taking of Pelham One Two Three;7.6;154;1970s mayor kidnapping hostage drama liberation of hostage hostage-taking remake suspense new york city one day police officer new york subway 
;0;Science Fiction;Drama ;en;I Origins follows a molecular biologist studying the evolution of the human eye.  He finds his work permeating his life after a brief encounter with an exotic young woman who slips away from him.  As his research continues years later with his lab partner  they make a stunning scientific discovery that has far reaching implications and complicates both his scientific and and spiritual beliefs.  Traveling half way around the world  he risks everything he has ever known to validate his theory.;6.287;Bersin Pictures;United States of America;2014-07-18;336472;106;en;;I Origins;7.6;1606;usa reincarnation independent film doctor india molecular biologist 
;22000000;Animation;Drama ;ja;A group of Yokohama students fight to save their schools clubhouse from the wrecking ball during preparations for the 1964 Tokyo Olympic Games. While working there  Umi and Shun gradually attract each other  but face a sudden trial. Even so  they keep going without fleeing the difficulties of reality.;6.156;Studio Ghibli;Japan;2011-07-16;61037844;91;ja;I look up as I walk...;From Up on Poppy Hill;7.6;540;postwar japan anime 
;0;Action;Thriller Crime ;ko;His only friend called him the man from nowhere... Taesik  a former special agent becomes a loner after losing his wife in a miserable accident and lives a bitter life running a pawnshop. He only has a few customers and a friend named Somi  a little girl next door. As Taesik spends more and more time with Somi  he gets attached to her. Then Somi is kidnapped by a gang  and as Taesik tries to save Somi by becoming deeply associated with the gang his mysterious past is revealed...;7.283;Cinema Service;South Korea;2010-08-04;43059790;119;ko;Nothing to lose  nothing to compromise.;The Man from Nowhere;7.6;480;child labour martial arts assassin hero hitman protection friendship tragic hero tragedy disappearance 
;0;Drama;Comedy ;en;An unemployed Brit vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.;5.667;Channel Four Films;United Kingdom;1993-09-14;0;131;en;When unbalance leads to submission;Naked;7.6;162;london england rape urban desolate cult film gritty stranger manchester 
The Incredibles Collection;200000000;Action;Adventure Animation Family ;en;Elastigirl springs into action to save the day  while Mr. Incredible faces his greatest challenge yet ? taking care of the problems of his three children.;116.226;Walt Disney Pictures;United States of America;2018-06-14;868429911;118;en;Back to work.;Incredibles 2;7.6;3649;married couple sequel superhero children computer animation animation parenting family super power 
